Name,Specialty,Location,Rating,Reviews
Dr. Stephen P Strasser,Pediatrics,Cobleskill,5.0,5
Dr. Jeffrey A Morganstern,Pediatric Gastroenterology,East Setauket,5.0,5
Dr. Natasha N Shur,Medical Genetics,Albany,5.0,5
Dr. Glen O Loria,Internal Medicine,South Ozone Park,5.0,5
Dr. Kishor V Phadke,Cardiovascular Disease,Buffalo,5.0,5
Dr. Julie A Luttinger,Pediatrics,New York,5.0,5
Dr. Mohammed I Awaad,,Buffalo,5.0,5
Dr. Steven F Weisen,Internal Medicine,Suffern,5.0,5
Dr. Claire Holderness,Neurology,New York,5.0,5
Dr. Geejo Geevarghese,Family Medicine,Bronx,5.0,5
Dr. Stephen W Hornyak,Surgery,Staten Island,5.0,5
Dr. Debra A Ferman,Internal Medicine,East Meadow,5.0,5
Dr. Patrick A Flynn,Pediatrics,New York,5.0,5
Dr. Leah C Houston,Emergency Medicine,Far Rockaway,5.0,5
Dr. Calvin O Browne,Neurology,Rockville Centre,5.0,5
Dr. Gary F Spitz,Ophthalmology,Little Neck,5.0,5
Dr. Harsha S Reddy,Ophthalmology,New York,5.0,5
Dr. Minou Absy-Jaghab,Internal Medicine,Bronx,5.0,5
Dr. Gregory D Lewish,Orthopaedic Surgery,Rochester,5.0,5
Dr. James A Sulzer,Pediatrics,Poughkeepsie,5.0,5
Dr. W Roy R Michaelis,Internal Medicine,Bronx,5.0,5
Dr. Tudor N Onisei,Anesthesiology,Rego Park,5.0,5
Dr. Herbert C Henken,Ophthalmology,Long Beach,5.0,5
Dr. Sailaja Damineni,Family Medicine,Jamaica,5.0,5
Dr. Kathryn O Giroux,Surgery,Plattsburgh,5.0,5
Dr. Louis M Mudannayake,Internal Medicine,Brooklyn,5.0,5
Dr. Fatma Akmese,Family Medicine,Rochester,5.0,5
Dr. Shelly L Stradley,Family Medicine,Vestal,5.0,5
Dr. Khousidai S Balwan,Internal Medicine,Great Neck,5.0,5
Dr. Nenad Trubelja,Cardiovascular Disease,New York,5.0,5
Dr. Christina H Koizumi,Internal Medicine,Bronx,5.0,5
Dr. Mary C Arigo,Pediatrics,Rochester,5.0,5
Dr. Charles A Fleischner,Emergency Medicine,Suffern,5.0,5
Dr. Kenneth R Krauss,Cardiovascular Disease,New York,5.0,5
Dr. Raghuram Gorti,Vascular Surgery,Pomona,5.0,5
Dr. Todd H Doyle,Radiation Oncology,Albany,5.0,5
Dr. Margaret Lewin MD,Internal Medicine,New York,5.0,4
Dr. Erik Larsen MD,Emergency Medicine,White Plains,5.0,4
Dr. Henry Weinstein MD,Psychiatry,New York,5.0,4
"Dr. Olajide Olawepo MD, DO, BS, MBBS",Pediatrics,Far Rockaway,5.0,4
Dr. Ronald Dushkin,Internal Medicine,New York,5.0,4
Dr. Timothy Hall MD,Vascular Surgery,Brooklyn,5.0,4
"Dr. Barry Sporer MD, DMD",Prosthodontics,New York,5.0,4
Deborah R Gersony,,New York,5.0,4
Dr. Suzanne L Wolden,Radiation Oncology,New York,5.0,4
Dr. Matthew F Warren,Psychiatry,New York,5.0,4
Dr. Jai J Rhee,Internal Medicine,Jackson Heights,5.0,4
Dr. Anastasia Fokas,Pediatrics,Richmond Hill,5.0,4
Dr. Anita O Hui,Pediatrics,New York,5.0,4
Dr. Robert P Brawn,Internal Medicine,Buffalo,5.0,4
Dr. Don B Bandari,Internal Medicine,Brooklyn,5.0,4
Dr. Chandak Ghosh,Ophthalmology,Jamaica,5.0,4
Dr. Tami S Seaman,Family Medicine,Latham,5.0,4
Dr. Frederick A Davis,Emergency Medicine,West Islip,5.0,4
Dr. Monica M Nuyens,Ophthalmology,Ogdensburg,5.0,4
Dr. Claudine Higdon,Psychiatry,Glen Oaks,5.0,4
Dr. Somasundaram Thiagarajah,Anesthesiology,New York,5.0,4
James J Flowers,,Poughkeepsie,5.0,4
Dr. Patricia A Bloom,Internal Medicine,Hastings On Hudson,5.0,4
Dr. Ephraim E Back,Family Medicine,Kingston,5.0,4
Dr. Christopher A Ramsey,Neurology,New York,5.0,4
Dr. Neil J Resnick,Diagnostic Radiology,New York,5.0,4
Dr. Orlando S Fuschetto,Cardiology,New Hyde Park,5.0,4
Dr. Andrea C Dory,Family Medicine,Oyster Bay,5.0,4
Dr. Ludmila Sedlackova,Family Medicine,Bronx,5.0,4
Dr. Donald F Pickhardt III,Pediatrics,Buffalo,5.0,4
Dr. Andrew S Morse,Surgery of the Hand,Albany,5.0,4
Dr. Harriet E Mcgurk,Pediatrics,New York,5.0,4
Dr. David Dayya,Hospitalist,Sleepy Hollow,5.0,4
Dr. Jane A Lee,Ophthalmology,New York,5.0,4
Dr. Rachel Grimm,Internal Medicine,Albany,5.0,4
Dr. Mediha I Ibrahim,Critical Care Medicine,Brooklyn,5.0,4
Dr. Parviz Soomekh,Anesthesiology,New York,5.0,4
Dr. Jennifer K Larner,Adolescent Medicine,Slingerlands,5.0,4
Dr. Tamara M Caithamer,Internal Medicine,New York,5.0,4
Dr. Bogdan K Mscichowski,Pediatrics,Fairport,5.0,4
Dr. Jedidiah Burack,Internal Medicine,Brooklyn,5.0,4
Dr. Ronald Dushkin,Internal Medicine,New York,5.0,4
Dr. George P Albert,Pediatrics,Buffalo,5.0,4
Dr. John Braico MD,Pediatrics,Glens Falls,5.0,3
Dr. Gal Mayer MD,Internal Medicine,New York,5.0,3
Dr. Jason J Brucker,Internal Medicine,Bronx,5.0,3
Dr. Robert Frater MD,Thoracic Surgery,Bronx,5.0,3
Dr. Allan Hordof MD,Pediatric Cardiology,New York,5.0,3
Dr. Yanick Chaumin MD,Internal Medicine,Elmhurst,5.0,3
"Dr. Iqbal Mohamed MD, MBBS",Urology,Niagara Falls,5.0,3
Dr. John Maye MD,Gynecology,Rochester,5.0,3
Yevgeniy Vaynkof M.D.,Family Medicine,New York,5.0,193
Dr. Scott Valet MD,Allergy and Immunology,Brockport,5.0,3
Dr. Antonio J Paz,Anesthesiology,New York,5.0,3
Dr. Miles H Dinner,Anesthesiology,New York,5.0,3
Dr. Giora L Weisz,Internal Medicine,New York,5.0,3
Dr. Jason J Brucker,Internal Medicine,Bronx,5.0,3
Dr. Janice Y Kao,Pediatrics,Albany,5.0,3
Dr. Jennifer Henle,Pediatrics,New York,5.0,3
Dr. George S Giannikas,Surgery,Astoria,5.0,3
Dr. Shelley Kolton,Gynecology,New York,5.0,3
Eleonora Khaimova,,Rego Park,5.0,3
Dr. Edwin L Naamon,Emergency Medicine,New York,5.0,3
Dr. Juan Gaztanaga,Cardiovascular Disease,Mineola,5.0,3
Dr. Jared M Theler,Otolaryngology,Syracuse,5.0,3
Dr. Bette M Kim,Internal Medicine,New York,5.0,3
Dr. Pankajlal S Shah,Emergency Medicine,Hornell,5.0,3
Dr. Thomas G Newman Jr,Pulmonary Disease,Thornwood,5.0,3
Dr. Dzhamala Gilmandyar,Maternal and Fetal Medicine,New Hyde Park,5.0,3
Dr. Consolacion T Pimentel,Nephrology,Bronx,5.0,3
Dr. Hui-Li L Huang,Family Medicine,Bronx,5.0,3
Dr. Luke A Handy,Family Medicine,Little Falls,5.0,3
Dr. Diane Hamele-Bena,Cytopathology,New York,5.0,3
Dr. Luguang Yang,Physical Medicine and Rehabilitation,Brooklyn,5.0,3
Dr. Efrain A Gonzalez,Infectious Disease,New York,5.0,33
Dr. Uday K Bhargava,Internal Medicine,Brooklyn,5.0,3
Dr. Samar Raza,Hospitalist,Bay Shore,5.0,3
Dr. Joanne Goldman,Anesthesiology,New York,5.0,3
Dr. Desiree S Merrell,Adolescent Medicine,Bayside,5.0,3
Dr. Mayer I Rydzinski,Internal Medicine,Rego Park,5.0,3
Dr. Ernel S Lewis,Emergency Medicine,Brooklyn,5.0,3
Dr. Lisa P Hu,Physical Medicine and Rehabilitation,Glen Cove,5.0,3
Dr. Benny Hakim,Internal Medicine,New York,5.0,17
Dr. David L Bolon,Nuclear Cardiology,New York,5.0,17
Dr. Mohammadomid Edrissian,Internal Medicine,Rochester,5.0,17
Dr. Benny Hakim,Internal Medicine,New York,5.0,17
Dr. Jacqueline E Jones,Pediatrics,New York,5.0,15
Dr. Peter J Zeale,Internal Medicine,New York,5.0,14
Dr. Jay M Weitzner,Dermatology,Middletown,5.0,14
Dr. David S Dunkin,Pediatric Gastroenterology,New York,5.0,13
Dr. Valerie S Curry,Pediatrics,Chatham,5.0,13
Dr. Tanya P Kizelshteyn,Pediatrics,Bronx,5.0,13
Dr. Alfio Carroccio,Surgery,New York,5.0,12
Dr. David H Haight,Ophthalmology,New York,5.0,12
Dr. Benetta Yee,Pediatrics,Forest Hills,5.0,12
Dr. Svetlana Ilizarov,Sports Medicine,East Setauket,5.0,12
Dr. Kasi R Mccune,Transplant Surgery,New York,5.0,12
Dr. Paulinder S Rai,Physical Medicine and Rehabilitation,Brightwaters,5.0,12
Dr. Angelo D Michilli,Internal Medicine,Bronx,5.0,12
Dr. Yitzchak Moshenyat,Internal Medicine,Brooklyn,5.0,12
Dr. Alfio Carroccio,Surgery,New York,5.0,12
Dr. Robert J Sporter,Allergy and Immunology,New York,5.0,12
"Dr. Jonathan Mink MD, PHD",Child Neurology,Rochester,5.0,11
Dr. Louis A Buzzeo,Nephrology,Sleepy Hollow,5.0,11
Dr. Robert J Stine,Psychiatry,Somers,5.0,11
Dr. Madeleine D Harbison,Pediatrics,New York,5.0,11
Dr. Nicholas W Tarricone,Pediatrics,Oneonta,5.0,11
Dr. Timothy J Malins,Internal Medicine,Geneva,5.0,11
Dr. Gerald F Karnow,General Practice,Spring Valley,5.0,11
Dr. Alison J Guile,Internal Medicine,Plattsburgh,5.0,11
Richard P Melucci,,Rocky Point,5.0,11
Dr. Michael Bradford MD,Gastroenterology,Manhasset,5.0,10
Dr. Stefano Ravalli,Cardiovascular Disease,New York,5.0,10
Dr. Elizabeth G Goldstein,Internal Medicine,Forest Hills,5.0,10
Dr. Ralph J Alvarez,Internal Medicine,Warwick,5.0,10
Dr. Terence P Oconnor,Internal Medicine,Orchard Park,5.0,10
Dr. Saiqa H Nabi,Pediatrics,East Setauket,5.0,10
Dr. Jan E Duus,Medical Oncology,Plattsburgh,5.0,10
Dr. Paul M Tejera,Internal Medicine,Potsdam,5.0,10
Dr. George Raptis,Internal Medicine,New Hyde Park,5.0,10
Dr. Elizabeth M Wimbley,Family Medicine,New York,5.0,10
Dr. Mark G Stokes,Internal Medicine,Great Neck,5.0,10
Dr. Herold M Duroseau,Pediatrics,Brooklyn,5.0,10
Dr. Gustave J Pogo,Thoracic Surgery (Cardiothoracic Vascular Surgery),Mineola,5.0,10
Dr. Fedir Ilnitskyy,Internal Medicine,Brooklyn,5.0,10
"Dr. Joelle Mast MD, PHD",Child Neurology,Valhalla,5.0,9
"Dr. Flavia Marino MD, FAAP",Pediatrics,Jackson Heights,5.0,9
Dr. William Brender MD,Plastic Surgery,Glens Falls,5.0,9
Dr. Miguel A Andujar,Internal Medicine,New York,5.0,9
Dr. Satyanarayana M Narasimhadevara,Internal Medicine,Poughkeepsie,5.0,9
Dr. Marla T Stern,Pediatrics,New York,5.0,9
Richard W Murray,,Ithaca,5.0,9
Dr. John R Thanus,Obstetrics and Gynecology,Bethpage,5.0,9
Dr. Margaret A Collins,Pediatrics,Mount Kisco,5.0,9
Dr. Silas M Chikunguwo,Bariatric Medicine,Norwich,5.0,9
Dr. Jenny J Choi,Bariatric Medicine,Bronx,5.0,9
Dr. Peter J Walter,Urology,Jamestown,5.0,9
William C Brender,Plastic Surgery,Glens Falls,5.0,9
Dr. Robert J Bos,Internal Medicine,New York,5.0,8
Dr. Mary C Whyte,Surgery,Albany,5.0,8
Dr. Weijia Yuan,Internal Medicine,Brooklyn,5.0,8
Dr. Alexis Hugelmeyer,Family Medicine,Wading River,5.0,8
Dr. Jennifer A Nastasi,Pediatrics,Medford,5.0,8
Dr. Farhad M Gazi,Emergency Medicine,Forest Hills,5.0,8
Dr. Sharita Nagaraj,Surgery,Troy,5.0,8
Dr. John R Kelly,Surgery,Oneida,5.0,8
Dr. Gina F Carena,Internal Medicine,Kingston,5.0,8
Dr. Thor T Markwood,Internal Medicine,Utica,5.0,8
Dr. Lee Weiss,Obstetrics and Gynecology,Stony Brook,5.0,8
Dr. Andrew E Price,Orthopaedic Surgery,New York,5.0,8
Dr. Carlos K Wesley,Emergency Medicine,New York,5.0,8
Dr. Arnold M Rochwarger,Internal Medicine,New York,5.0,8
Dr. Noa Biran,Medical Oncology,New York,5.0,8
Dr. Yiu C Cheung,Family Medicine,New York,5.0,8
Dr. Jonathan D Fish,Pediatric Hematology-Oncology,New Hyde Park,5.0,8
Dr. Paulette A Stewart,Pediatrics,Cambria Heights,5.0,8
Dr. Anthony M Caterina,Pediatrics,Orchard Park,5.0,8
Dr. Richard L Nass,Otolaryngology,New York,5.0,8
Dr. Alexandru A Stoian,Internal Medicine,Potsdam,5.0,8
Dr. Robert J Bos,Internal Medicine,New York,5.0,8
Dr. Andrew H Gotzis,Psychiatry,New York,5.0,8
Dr. Raelene M Mckeon Kent,Pediatrics,Horseheads,5.0,8
Dr. Lance I Kovar,Internal Medicine,West Nyack,5.0,8
Dr. Meredith J Wong,Neurology,New York,5.0,8
Dr. Nabil W Ghabrial,Anesthesiology,Saranac Lake,5.0,8
Dr. George E Verrilli,Gynecology,Rhinebeck,5.0,8
Dr. Vijay J Mani,Orthopaedic Surgery,Brooklyn,5.0,8
Dr. Sandip J Kapur,Transplant Surgery,New York,5.0,8
Dr. Tilak W Wikramanayake,Internal Medicine,Brooklyn,5.0,8
Dr. David P Fuschetto,Internal Medicine,Manhasset,5.0,8
Dr. Joyce E Gerdis Karp,Neurology,New York,5.0,8
Dr. Lillian Li MD,Obstetrics and Gynecology,New York,5.0,7
Dr. Leo Cardillo MD,Internal Medicine,Hartsdale,5.0,7
Dr. Jason D Wolf,Urology,Huntington,5.0,7
Dr. Elizabeth Greenfield MD,Pediatrics,South Richmond Hill,5.0,7
Dr. Gary Slepowitz MD,Pediatrics,Oakland Gardens,5.0,7
Zef A Abraham,,Rye Brook,5.0,7
Dr. Sheldon Greenberg,Internal Medicine,Brooklyn,5.0,7
Dr. Theo D Trandafirescu,Critical Care Medicine,Oakland Gardens,5.0,7
Dr. Jeremiah M Benoit,Internal Medicine,Amsterdam,5.0,7
Dr. Saji Abraham,Internal Medicine,Bayside,5.0,7
Dr. Anita C Beecham-Robinson,Family Medicine,Brooklyn,5.0,7
Dr. Mauricio N Valencia,Family Medicine,New Hartford,5.0,27
Dr. Robert L Warner,Dermatology,New York,5.0,7
Dr. Dru H Turk,Anesthesiology,Rochester,5.0,7
Dr. Tarek J Sousou,Internal Medicine,Rochester,5.0,7
Dr. Zuzana Belisova-Gyure,Sleep Medicine,New York,5.0,7
Dr. Athos Patsalides,Radiology,New York,5.0,27
Dr. Tahir A Chauhdry,Obstetrics and Gynecology,Olean,5.0,7
Dr. Gabriel F Deangelis,Internal Medicine,Jamaica,5.0,7
Dr. Danielle A Katz,Orthopaedic Surgery,East Syracuse,5.0,7
Dr. Patricia E Happel,Family Medicine,Central Islip,5.0,7
Michael H Finck,,Goshen,5.0,7
Dr. Robert C Holland,Family Medicine,Pleasant Valley,5.0,27
Dr. Alina Mastan,Internal Medicine,New York,5.0,7
Dr. Daniel S Donohue,Cardiovascular Disease,Garden City,5.0,7
Dr. Rossella Cavaliere,Psychiatry,Albany,5.0,7
Dr. James R Stelling,Obstetrics and Gynecology,Mineola,5.0,7
Dr. Robert P Meneses,Family Medicine,Corning,5.0,7
Dr. Tony Leung,Urology,Buffalo,5.0,27
Dr. Russell H Tobe Jr,Psychiatry,Orangeburg,5.0,7
Dr. Louis J Riley Jr,Nephrology,Elmira,5.0,7
Dr. Dmitry T Fridman,Obstetrics and Gynecology,Bronx,5.0,7
Dr. Darlene A Lefrancois-Haber,Internal Medicine,Bronx,5.0,7
Dr. Anthony J Gagliardi,Internal Medicine,New York,5.0,7
Dr. Erica A Vero,Internal Medicine,New York,5.0,7
Dr. Sara J Little,Pediatrics,Port Jervis,5.0,7
Dr. Chester L Robbins,Geriatric Medicine,Saugerties,5.0,7
Dr. Lawrence J Siegel,Internal Medicine,New York,5.0,7
Dr. David H Oustecky,Internal Medicine,Nesconset,5.0,7
Dr. Hao C Wang,Ophthalmology,Albany,5.0,27
Dr. Bernard J Goldblatt,Internal Medicine,Brooklyn,5.0,7
Dr. Philip H Weinberg,Anesthesiology,Roslyn,5.0,7
Dr. Debora L Kogan-Liberman,Pediatrics,Bronx,5.0,7
Dr. Bobby B Najari,Urology,New York,5.0,7
Dr. Andy O Miller,Internal Medicine,New York,5.0,7
Dr. Gainosuke Sugiyama,Surgery,New Hyde Park,5.0,7
Dr. Itchak Schwarzbard,Orthopaedic Surgery of the Hand,East Patchogue,5.0,7
Dr. Ezra E Dweck,Internal Medicine,New York,5.0,7
Dr. Rhonda S Forest,Emergency Medicine,Bronx,5.0,7
Dr. Solomon Rendler MD,Dermatology,Brooklyn,5.0,6
Dr. Peter Lesniewski MD,Orthopedic Surgery,Plainview,5.0,6
Dr. Sheldon C Simon,Orthopaedic Surgery,New York,5.0,6
Dr. Teresa Miller MD,Psychiatry,Aurora,5.0,6
"Dr. Andre Cardoso MD, DMD",Oral and Maxillofacial Surgery,Oneida,5.0,6
Dr. Sung Hoon Yang MD,Obstetrics and Gynecology,Hornell,5.0,6
Elizabeth S Harre,,New York,5.0,6
Dr. Simone B Piraino,Obstetrics and Gynecology,Schenectady,5.0,6
Dr. Ashraf S Aly,Obstetrics and Gynecology,Utica,5.0,6
Dr. Anthony Charuvastra,Adolescent Medicine,New York,5.0,6
Dr. Majed M Samarneh,Internal Medicine,Staten Island,5.0,6
Dr. Vladimir J Kalas,Plastic Surgery,Troy,5.0,6
Dr. Kevin N Ogorman Jr,Internal Medicine,Eden,5.0,6
Dr. Geoffrey G Wittig,Family Medicine,Dansville,5.0,6
Dr. Scott L Osur,Allergy and Immunology,Albany,5.0,6
Dr. Alexander D Lee,Internal Medicine,New Hyde Park,5.0,6
Dr. William L Carroll,Pediatrics,Stony Brook,5.0,6
Dr. Andrij O Baran,Internal Medicine,Saratoga Springs,5.0,6
Dr. Sheldon C Simon,Orthopaedic Surgery,New York,5.0,6
Dr. Elizabeth C Verna,Internal Medicine,New York,5.0,6
Dr. Tejas R Shah,Vascular Surgery,New York,5.0,6
Dr. Kristen E Sahler,Psychiatry,New York,5.0,6
Dr. Karen B Green,Hematology,White Plains,5.0,6
Dr. John T Coppola,Internal Medicine,New York,5.0,6
Sung Hoon Yang,,Hornell,5.0,6
Dr. Sudhir S Goyal,Internal Medicine,Bay Shore,5.0,6
Dr. Nanakram Agarwal,Surgery,Bronx,5.0,6
Dr. Richard D Dickinson,Emergency Medicine,Stony Brook,5.0,6
Dr. Brian W Ault,Emergency Medicine,West Islip,5.0,6
Dr. Nidal Makhoul,Cardiovascular Disease,Plattsburgh,5.0,6
Dr. Kumari A Hobbs,Obstetrics and Gynecology,New York,5.0,6
Norbert W Sander Jr,Internal Medicine,Bronx,5.0,6
Dr. Kathryn D Bass,Bariatric Medicine,Buffalo,5.0,6
Dr. Jonathan W Hager,Internal Medicine,North Chili,5.0,6
Dr. Ayca Gucalp,Internal Medicine,New York,5.0,6
Dr. Tamara Sibalic-Mandic,Internal Medicine,Staten Island,5.0,6
Dr. Andrea I Berg,Internal Medicine,Syracuse,5.0,6
Dr. Shlomit Fuhrer,Neurology,New York,5.0,6
Dr. Monzur Morshed,Emergency Medicine,Bronx,5.0,6
Dr. Carole A Gedenberg,Pediatrics,East Meadow,5.0,6
Mary D Chaglassian,,Elmhurst,5.0,6
Dr. Michael H Tunick,Family Medicine,Endicott,5.0,6
Dr. Linda M Scarsella,Internal Medicine,Lindenhurst,5.0,6
Dr. Scott M Surowiec,Surgery,Syracuse,5.0,6
Dr. John R Dimartino,Family Medicine,Massapequa,5.0,6
Dr. Geraldine T Keyes,Family Medicine,New Paltz,5.0,6
Dr. Deborah A Simmons,Dermatology,New York,5.0,6
Dr. Joseph M Weisstuch,Internal Medicine,New York,5.0,6
Dr. Sergio A Giralt,Hematology and Oncology,New York,5.0,6
Dr. Christopher P Kellner,Neurological Surgery,New York,5.0,6
Dr. Faiz Ahmad,Emergency Medicine,Selden,5.0,6
Dr. Philip V Deluca,Internal Medicine,Glen Cove,5.0,6
Dr. David B Kaufman,Nuclear Cardiology,Bronx,5.0,6
Dr. Danielle M Wilbur,Orthopaedic Surgery,Rochester,5.0,6
Dr. Emily H Sheffer,Emergency Medicine,New York,5.0,6
Dr. Usha Thomas,Pediatrics,Staten Island,5.0,6
Dr. Stephanie S Tseng,Dermatology,Mount Kisco,5.0,6
Dr. David L Keefe,Obstetrics and Gynecology,New York,5.0,6
Dr. Adedayo A Ojo,Surgery,Brooklyn,5.0,6
Dr. Bruce Sanderov,Internal Medicine,Smithtown,5.0,6
Dr. Hersch L Orner,Pediatrics,Flushing,5.0,6
Dr. Keith W Kulju,Internal Medicine,Jamestown,5.0,6
Dr. Young H Hyun,Pediatrics,Brooklyn,5.0,5
Dr. Giuseppina Benincasa-Feingold,Pediatrics,Suffern,5.0,5
Dr. Daniel Shifteh MD,Diagnostic Radiology,Roslyn Heights,5.0,5
Dr. Min Lin MD,Obstetrics and Gynecology,Corning,5.0,5
Dr. Ferrell A Motlow,Pediatrics,Brooklyn,5.0,5
Dr. William Pitts Jr MD,Urology,New York,5.0,5
Dr. Janet Roen MD,General Surgery,New York,5.0,5
Dr. Gary Garfield DO,Pulmonary Disease,Monticello,5.0,5
Dr. Ilana Forchheimer MD,Ophthalmology,Ridge,5.0,5
Dr. Elizabeth M Efthimiou,Physical Medicine & Rehabilitation,Glen Cove,5.0,5
Dr. Naum Shaparin,Hospice & Palliative Medicine,Bronx,5.0,5
Dr. Nora Brockner MD,Psychiatry,New York,5.0,5
Dr. James Wopperer MD,Orthopedic Surgery,Lewiston,5.0,5
Dr. David Ross MD,Emergency Medicine,New York,5.0,5
Ivan P Szathmary,,Liverpool,5.0,5
Dr. Scott A Gerson,Internal Medicine,Brewster,5.0,5
Geralyn A Groh-Szuba,Pediatrics,Rockville Centre,5.0,5
Keith Haller,,New York,5.0,5
Dr. Samuel Bitton,Pediatrics,New Hyde Park,5.0,5
Dr. Manju M Chandra,Pediatrics,Mineola,5.0,5
Dr. Regina M Digiovanna,Internal Medicine,Brooklyn,5.0,5
Dr. Roger E Padilla,Anesthesiology,New York,5.0,5
Dr. Stuart G Selkin,Otolaryngology,Melville,5.0,5
Dr. Rachel M Nazarian,Dermatology,New York,5.0,5
Rajaram S Rao,,Ithaca,5.0,5
Constantino G Fernandez,Obstetrics and Gynecology,Rochester,5.0,5
Dr. Barbara Anne A Morisseau,Pediatrics,Syracuse,5.0,5
Dr. Najat A Turaif,Nuclear Cardiology,Buffalo,5.0,5
Dr. Alain A Le Guillou,Pediatrics,Larchmont,5.0,5
Dr. Anthony D Freundel,Undersea and Hyperbaric Medicine,Buffalo,5.0,5
Dr. Seth J Gordon,Internal Medicine,Albany,5.0,5
Dr. Rana Kaplan,Critical Care Medicine,New York,5.0,5
Dr. Karen A Autio,Medical Oncology,New York,5.0,5
Dr. Nancy J Dintenfass,Diagnostic Radiology,Roslyn,5.0,5
Dr. Andrea Rich,Pediatrics,Bronx,5.0,5
Dr. Brent S Ingerick,Family Medicine,Elmira,5.0,5
Dr. Emmanuel N Moustakakis,Cardiovascular Disease,Flushing,5.0,5
Dr. Bruce D Logan,Internal Medicine,New York,5.0,5
Dr. John S Rubin,Emergency Medicine,Utica,5.0,5
Dr. Robert L Slavens,Ophthalmology,Syracuse,5.0,5
Dr. Lernice L Henry,Pediatrics,Middletown,5.0,5
Dr. James T Connelly,Nuclear Cardiology,Auburn,5.0,5
Dr. Alisa J Graf,Pediatrics,Nyack,5.0,5
Dr. Alicia D Mcgill,General Practice,New York,5.0,5
Dr. Jose M Dizon,Cardiovascular Disease,West Harrison,5.0,5
Dr. William S Rosenfeld,Neurology,Katonah,5.0,5
Dr. Michael W Kalsman,Family Medicine,Salamanca,5.0,5
Dr. Narendra K Trivedi,Neurology,Amityville,5.0,5
Dr. Mikhail Chernov,Anesthesiology,New York,5.0,5
Dr. Frances W Lee,Neurology,New York,5.0,5
Dr. Lawrence E Krawitz,Pediatrics,Nanuet,5.0,5
Dr. Mario F Victoria,Pediatrics,Watertown,5.0,5
Dr. Kevin H Klayman,Radiology,Elmira,5.0,5
Faruk M Koreishi,,Orchard Park,5.0,5
Dr. Douglas R Labar,Neurology,New York,5.0,5
Dr. Gabrielle J Wolfsberger,Family Medicine,Hyde Park,5.0,5
Dr. Melissa J Veino,Pediatrics,Slingerlands,5.0,5
Dr. Bertha A John,Pediatrics,New York,5.0,5
Dr. Israel A Aviles,Internal Medicine,Jackson Heights,5.0,5
Dr. Jennifer D Kozhin-Revich,Family Medicine,Forest Hills,5.0,5
Dr. Elizabeth M Cox,Internal Medicine,Rochester,5.0,5
Dr. Bahaa E Mokhtar,Radiation Oncology,Brooklyn,5.0,5
Dr. Lisa K Law,Ophthalmology,New York,5.0,5
Dr. John C Chang,Ophthalmology,Pearl River,5.0,5
Dr. Elena A Klimenko,Internal Medicine,New York,5.0,5
Dr. George M Malegiannakis,Internal Medicine,Brooklyn,5.0,5
Dr. Katerina Tellier,Anesthesiology,New York,5.0,5
Dr. Behzad B Paimany,Internal Medicine,Rego Park,5.0,5
Dr. Salvatore J Caravella,Pediatrics,Huntington,5.0,5
Dr. Marcina Cooper,Pediatrics,Bronx,5.0,5
Dr. Quratul A Raja,Internal Medicine,Dunkirk,5.0,5
Dr. Evelyn Irizarry,Colon and Rectal Surgery,Bronx,5.0,5
Dr. Abigail D Zuger,Internal Medicine,New York,5.0,5
Dr. Thomas F Cozza,Pediatrics,Buffalo,5.0,5
Dr. Mercedes Martinez,Pediatric Gastroenterology,New York,5.0,5
Dr. Edris Z Alderwish,Cardiovascular Disease,Brooklyn,5.0,5
Dr. Gerard Weinberg,Surgery,Albany,5.0,5
Dr. Douglas G Walled,Radiology,Albany,5.0,5
Dr. Kashif Ramzan,Emergency Medicine,New York,5.0,5
Dr. Shafiq U Rehman,Cardiology,Brooklyn,5.0,5
Dr. Michael S Halata,Pediatric Gastroenterology,Valhalla,5.0,5
Dr. Danielle E Marino,Gastroenterology,Rochester,5.0,5
Dr. Mitchell A Adler,Internal Medicine,Irvington,5.0,5
Dr. Akash Parashar,Hospitalist,Buffalo,5.0,5
Dr. Hildred Machuca,Pediatrics,Bronx,5.0,5
Dr. Geria L Furtuna,Family Medicine,Rochester,5.0,5
Dr. Alexander Askanas,Internal Medicine,New York,5.0,5
Dr. Mariam F Ejaz,Pediatrics,Brentwood,5.0,5
Dr. Preeti Parikh,Pediatrics,New York,5.0,5
Dr. Kim J Abrams,Pediatrics,New Rochelle,5.0,5
Dr. Ingrid M Hriljac,Internal Medicine,New York,5.0,5
Dr. Dimitrios S Mastrogiannis,Obstetrics and Gynecology,West Islip,5.0,5
Dr. Kimberly E Clemente,Family Medicine,Ballston Spa,5.0,5
Dr. Vinod P Patel,Internal Medicine,Brooklyn,5.0,5
Dr. Mehmet K Albulak,Critical Care Medicine,Bronx,5.0,5
Dr. Margaret M Woods,Pediatrics,Schenectady,5.0,5
Dr. Young H Hyun,Pediatrics,Brooklyn,5.0,5
Dr. Nelly J Oundjian,Pediatrics,New York,5.0,5
Dr. Sheryl Green,Radiation Oncology,New York,5.0,5
Dr. Timothy W Deyer,Radiology,New York,5.0,5
Dr. Jonathan N Ginns,Internal Medicine,New York,5.0,5
Marjory Alabre,,Sleepy Hollow,5.0,5
Dr. Anna Dunevsky,Physical Medicine and Rehabilitation,Brooklyn,5.0,5
Dr. Benjamin Stein,Emergency Medicine,Forest Hills,5.0,5
